title,channel_id,description,subscriber_count,view_count,normalized_subscribers,normalized_views
Finanzas en primera persona,UCaAfpW6RWfPILOSzddGOrgQ,"No es casualidad que estes aqui!

En nuestros tiempos es fundamental comprender el comportamiento de la economia y con base en nuestro propio analisis, tomar decisiones que vayan orientadas a una economia personal mas saludable. 

Si eres una persona interesada en el mejoramiento continuo de tus finanzas personales, y vas camino a la libertad financiera, este canal es una muy buena opcion a seguir. En finanzas en primera persona, encontraras informacion comprobada que te ayudara a llevar una salud financiera plena, asi como consejos de inversion.

Nuestra mision es lograr que aflore en ti la mejor version del economista que llevas dentro, manteniendote motivado y sobre todo enfocado en tus metas a mediano y largo plazo.

Apropiate de tus FINANZAS EN PRIMERA PERSONA, y haz parte de la nueva generacion de personas libres financieramente.

Bienvenidos y gracias por seguirnos!!
",13,217,2.3297491039426525e-05,4.229586888062346e-06
Finanzas al Instante,UCdr2bv9-uy8mfi0OBCQIsTA,"Cambiar para Crecer

Una colección de videos financieros que  ofrecen claridad y conciencia financiera para crecer y salir adelante.",38700,6002516,0.06935483870967742,0.116996142714214
Ministerio de Economía Formosa,UCt-_pzdgKBZ_lnenwg8p4VA,"Canal oficial del Ministerio de Economía, Hacienda y Finanzas, de la Provincia de Formosa.",238,569164,0.00042652329749103945,0.011093680145424502
Finanzas del Reino,UCCGOs4hLLEnvTSh68FQW55A,"¿Te has preguntado cómo manejar tus finanzas, dinero, negocios, emprendimientos, y tu ministerio en el área financiera a la manera de Dios?, ¿cómo puedes tener a Dios como socio? ¿Cuáles son los principios financieros de éxito que habla la palabra?, ¿cómo salir de la crisis financiera de la mano de Dios? ¿cómo tener unas finanzas saludables de acuerdo a los principios de Dios?. En FINANZAS DEL REINO tratamos temas basados en la economía del Reino de los cielos y cómo acceder a las riquezas que Dios tiene preparadas para sus hijos. SUSCRIBETE A NUESTRO CANAL y conocerás el plan de Dios para tus finanzas. 1 Crónicas 29. Tuya es, oh SEÑOR, la grandeza y el poder y la gloria y la victoria y la majestad, en verdad, todo lo que hay en los cielos y en la tierra; tuyo es el dominio, oh SEÑOR, y tú te exaltas como soberano sobre todo. De ti proceden la riqueza y el honor; tú reinas sobre todo y en tu mano están el poder y la fortaleza, y en tu mano está engrandecer y fortalecer a todos.",1400,32507,0.0025089605734767025,0.0006335999123052658
PROFE JULIO SEGURA ECONOMÍA Y FINANZAS ,UCPS-6eDG7DVduy4fyfT96bw,"Este canal pretende fomentar la cultura financiera y económica en beneficio de estudiantes, trabajadores, profesionistas y población en general.",1180,32079,0.0021146953405017923,0.0006252576856320369
Economía Digital,UC6D4yqpixz5XmIoDUDE73mg,"Bienvenida/o al canal de Economía Digital en Youtube.

Gracias a vuestra confianza, Economía Digital es uno de los mayores conjuntos de sites especializados en información económica, empresarial y política de España.

Buena parte del éxito del proyecto se sustenta en la fuerte apuesta por el periodismo especializado pegado al territorio. Así son referentes las ediciones de Economía Digital específicas para Galicia, Comunitat Valenciana y Andalucía.

Economía Digital también es propietario de finanzas.com y de la revista Inversión. La oferta periodística del grupo incluye otros canales temáticos, como tendenciashoy.com y diariogol.com.

El proyecto se fundó en Barcelona el 15 de noviembre de 2008.
",23200,5988274,0.04157706093189964,0.11671854927430717
Editorial Economía y Finanzas,UCpaiYHEkah_iZr8Cv46q8Zg," En el año 1968 fue fundada nuestra empresa por el Dr. Teodoro Nichtawitz. Hoy la dirige el Dr. César Talledo Mazú. Desde su inicio su misión fue publicar manuales que trataran los regímenes legales concernientes al ámbito empresarial. Sus notas distintivas fueron y siguen siéndolo la sistematización de las normas tratadas, la inclusión de comentarios, jurisprudencia e informes y su actualización permanente.

Así nacieron nuestros manuales sobre los regímenes tributario, laboral, societario, aduanero y los de competencia del Indecopi, con ostensible presencia en el mercado peruano.

Hoy, en la era digital, estamos abocados a brindar información legal vía internet en los mencionados ámbitos con la calidad de contenido que nos caracteriza. ",0,16529,0.0,0.00032216977729392863
Economía y Finanzas,UCQQAlsntLHUTl1dBvIuDq-A,Sin descripción,1970,261462,0.0035304659498207884,0.00509620390288736
Economía y Finanzas,UC7BUaNVu-07w_rA2e1CCm4w,Sin descripción,0,90,0.0,1.754206543435996e-06
Juan Mancera - Economía y Finanzas,UCAu9NAiSjA9luIhXBGxJO0A,"La economía y las finanzas son campos sumamente emocionantes. El problema es que muchas veces es difícil entender o unir las piezas de información que hay dispersas entre los libros, la escuela y los distintos medios. 
En este canal encontrarás videos con cursos, explicaciones y opiniones sobre los temas más importantes de economía y finanzas, de una manera sencilla de entender.
¡Suscríbete para acompañarme a navegar por este enorme mar de temas!
",625,44146,0.0011200716845878136,0.0008604578007391719
